MATCHKEY,DELQID,CRELIM,goodbad
14051504,0,1000,0
16973142,0,750,0
10178144,0,3250,0
15357135,0,1500,0
10041706,0,3250,0
100123579,0,10000,0
3947427,0,1000,0
2079446,4,4750,1
14496435,0,1000,0
14169939,0,1750,0
15014040,0,2000,0
10279077,0,2000,0
1975634,0,6000,0
16449042,1,1000,0
13053494,0,1750,0
11363179,0,1000,0
10385067,0,1750,0
1427263,7,4300,1
14703965,5,2750,1
14265209,0,1000,0
4781632,4,1200,1
16369370,6,1000,1
11548018,4,1000,1
2395466,0,5500,0
11392754,0,2000,0
15793089,0,500,0
3763667,0,2750,0
100293322,1,500,0
15830615,0,1000,0
17086060,0,1500,0
15956672,2,1500,0
16014109,0,2000,0
16081935,0,1500,0
14596634,0,2500,0
14263223,0,1000,0
16209812,5,1000,1
13765621,0,2000,0
13818729,0,1000,0
14718175,0,2250,0
14862045,7,1750,1
14724660,1,1000,0
11347765,0,3250,0
100204993,2,500,0
14218549,4,1500,1
10256921,0,3250,0
16014897,0,500,0
13893874,7,428,1
16266729,0,750,0
11530435,0,1000,0
13075947,2,2300,0
13500963,1,1750,0
14382261,0,1000,0
11416952,1,1750,0
11386960,0,1750,0
10197142,0,3250,0
14247472,7,1000,1
11490056,1,3000,0
13320557,2,2250,0
11573652,0,3250,0
100065278,0,3250,0
12973970,5,2000,1
5387268,0,1750,0
5310338,1,800,0
10174472,2,1210,0
13233946,0,2000,0
15388423,0,1500,0
100097303,6,1500,1
10274233,0,5750,0
13739695,0,568,0
12864566,0,3000,0
4732814,0,2250,0
17098344,1,0,0
2270057,0,6000,0
14373694,0,1750,0
15762756,1,2000,0
3933030,1,10000,0
14249316,0,3250,0
10385099,1,2750,0
5160484,5,2000,1
13006656,1,1750,0
3388791,0,0,0
5412225,0,4250,0
3667472,0,2150,0
2219405,0,1750,0
4516960,7,1750,1
2056785,0,5750,0
16537762,0,1000,0
16311410,3,1000,1
16470463,2,1000,0
13763646,0,3250,0
2314964,0,6000,0
11497113,0,1000,0
11458827,7,2800,1
14453406,4,500,1
10291469,0,3250,0
13648739,0,807,0
10074004,1,2100,0
10175872,0,1000,0
4445023,1,1250,0
2774059,0,4500,0
14131398,0,2000,0
100114196,0,2000,0
14755484,0,500,0
1343107,1,3800,0
16047927,1,1000,0
4731896,0,1000,0
3623300,0,1450,0
14131804,1,1500,0
13740796,0,3250,0
13983273,0,2500,0
13361776,0,2250,0
2310146,1,10000,0
10742769,1,2250,0
16011157,3,1000,1
13667394,0,2750,0
14051813,3,600,1
14423855,0,1000,0
11637838,7,2250,1
13043675,0,1750,0
15307415,0,1000,0
10197211,1,3250,0
16178677,0,1000,0
5470202,1,3500,0
14680006,0,1500,0
4044173,0,2750,0
13915562,0,2000,0
16462997,0,1750,0
14403888,0,1750,0
17075678,0,2250,0
13368939,1,3250,0
11436400,0,2000,0
5455141,1,1000,0
4298206,0,10000,0
14946826,0,500,0
16237592,2,1000,0
2078855,0,2250,0
3519505,1,1700,0
3934655,1,2350,0
11412945,0,1750,0
11562556,0,2750,0
11489782,7,2500,1
13900227,1,1000,0
4789438,0,980,0
11458152,7,1500,1
10037057,2,3250,0
5412723,2,1400,0
14552529,7,500,1
4284679,1,1200,0
5253166,1,1350,0
3886249,0,4500,0
10154349,0,1289,0
13759879,0,500,0
16575088,0,2250,0
14080332,7,607,1
14096656,0,2250,0
5457093,0,3250,0
13036823,0,3250,0
5229866,0,3500,0
10204049,0,2250,0
12929793,0,500,0
10174428,0,1750,0
5469030,0,2500,0
10153162,7,1750,1
10307206,3,2000,1
11623903,0,1677,0
3005255,7,4500,1
3815012,5,950,1
1503556,0,4000,0
11573667,0,1750,0
10022814,0,3250,0
16850293,0,1000,0
13656982,4,2000,1
10246181,0,2000,0
16721185,0,1000,0
17161409,2,500,0
16973169,1,2000,0
3364417,5,4750,1
15783986,1,500,0
3022400,5,2500,1
3400524,1,10000,0
13845343,0,3250,0
5341456,0,1000,0
3751157,7,5650,1
5411608,0,1750,0
13452449,0,2000,0
4566710,1,2250,0
16505216,0,2000,0
11392412,0,3250,0
15193793,0,1000,0
14131931,1,1750,0
10004896,0,3250,0
14532683,7,500,1
2777898,0,4500,0
10314921,7,3000,1
11324353,0,2750,0
10234842,0,1000,0
100064664,0,1000,0
14491941,7,500,1
3026644,0,5000,0
17086807,1,1750,0
11613931,0,3250,0
16311986,1,1250,0
17098504,1,1000,0
16178459,0,1000,0
15934315,1,2500,0
16210733,1,1195,0
14128984,0,2000,0
13452691,7,300,1
15935044,1,750,0
15992140,0,1250,0
13483896,1,2000,0
13763906,0,2000,0
13511209,0,500,0
16644413,0,2250,0
16013099,0,1000,0
13581044,0,500,0
13706890,0,2000,0
14333352,1,1750,0
13165692,7,1500,1
14525191,2,1000,0
11596386,0,300,0
14204400,5,1750,1
11358735,0,2000,0
10337654,0,2000,0
11485164,0,3250,0
11412870,0,300,0
11434568,0,3250,0
10371551,0,1750,0
10017606,0,3250,0
15480536,2,1200,0
5194789,7,950,1
10722777,0,1750,0
4363332,1,1150,0
10291611,0,3250,0
11342220,0,3250,0
10405333,6,1750,1
11538648,0,3250,0
11406763,0,1750,0
10737053,0,5000,0
10190116,0,2000,0
4717515,0,2400,0
3987167,2,0,0
4695081,7,3400,1
4598591,1,3750,0
16590721,0,1000,0
16199836,7,1000,1
15029056,0,1000,0
10160004,0,3250,0
17160221,7,500,1
14051407,0,1000,0
16144491,1,1250,0
2380086,0,5250,0
11354138,1,4000,0
3582000,0,3000,0
4415747,5,2100,1
13844472,0,2000,0
14936675,0,500,0
13825643,0,2500,0
13176268,0,1750,0
14215071,0,3750,0
13209801,0,3250,0
4350248,0,4500,0
15015589,0,1500,0
5448781,7,2750,1
5276481,0,2500,0
100252763,4,1250,1
13944972,0,3250,0
4793871,1,900,0
14096081,2,2000,0
13845735,0,2000,0
13165359,1,1750,0
10081273,1,4750,0
11393321,0,1500,0
