,MATCHKEY,RBAL,TRADES,AGE,AGE_groups,DELQID,CRELIM,goodbad,BRNEW,BRAGE
446,16575088,3549,9,73,AG_70_UP,0,2250,0,2,12
447,14080332,4165,16,30,AG_0_30,7,607,1,15,32
448,14096656,16261,45,46,AG_30_50,0,2250,0,2,207
449,5457093,2065,17,32,AG_30_50,0,3250,0,34,38
450,13036823,27174,21,62,AG_50_70,0,3250,0,2,86
451,5229866,15930,26,64,AG_50_70,0,3500,0,2,115
452,10204049,9302,28,49,AG_30_50,0,2250,0,10,195
453,12929793,4995,27,39,AG_30_50,0,500,0,4,71
454,10174428,30814,12,84,AG_70_UP,0,1750,0,1,50
455,5469030,16851,29,59,AG_50_70,0,2500,0,8,58
456,10153162,11834,22,57,AG_50_70,7,1750,1,30,69
457,10307206,43215,58,53,AG_50_70,3,2000,1,12,96
458,11623903,14528,15,48,AG_30_50,0,1677,0,24,91
459,3005255,14268,25,46,AG_30_50,7,4500,1,42,85
460,3815012,26683,20,65,AG_50_70,5,950,1,16,118
461,1503556,16568,41,51,AG_50_70,0,4000,0,18,162
462,11573667,8405,11,79,AG_70_UP,0,1750,0,25,162
463,10022814,4390,16,63,AG_50_70,0,3250,0,32,173
464,16850293,1257,6,48,AG_30_50,0,1000,0,2,14
465,13656982,16162,17,47,AG_30_50,4,2000,1,7,21
466,10246181,18375,12,61,AG_50_70,0,2000,0,18,37
467,16721185,331,35,58,AG_50_70,0,1000,0,3,91
468,17161409,1981,26,30,AG_0_30,2,500,0,1,81
469,16973169,4766,26,72,AG_70_UP,1,2000,0,2,76
470,3364417,34026,24,49,AG_30_50,5,4750,1,4,92
471,15783986,805,15,63,AG_50_70,1,500,0,7,79
472,3022400,3759,19,48,AG_30_50,5,2500,1,6,86
473,3400524,6916,18,31,AG_30_50,1,10000,0,7,91
474,13845343,3897,12,48,AG_30_50,0,3250,0,17,98
475,5341456,43,13,28,AG_0_30,0,1000,0,36,83
476,3751157,10131,11,30,AG_0_30,7,5650,1,30,80
477,5411608,4073,30,39,AG_30_50,0,1750,0,1,102
478,13452449,0,13,44,AG_30_50,0,2000,0,21,116
479,4566710,1618,10,41,AG_30_50,1,2250,0,21,100
480,16505216,348,42,49,AG_30_50,0,2000,0,4,138
481,11392412,2177,18,49,AG_30_50,0,3250,0,2,140
482,15193793,5349,35,52,AG_50_70,0,1000,0,3,133
483,14131931,0,15,46,AG_30_50,1,1750,0,18,140
484,10004896,27,24,66,AG_50_70,0,3250,0,17,146
485,14532683,706,27,54,AG_50_70,7,500,1,15,127
486,2777898,16313,21,60,AG_50_70,0,4500,0,27,132
487,10314921,5174,13,84,AG_70_UP,7,3000,1,6,181
488,11324353,1708,20,42,AG_30_50,0,2750,0,10,156
489,10234842,5700,28,66,AG_50_70,0,1000,0,3,214
490,100064664,3340,34,53,AG_50_70,0,1000,0,8,220
491,14491941,7340,24,34,AG_30_50,7,500,1,15,258
492,3026644,44766,11,69,AG_50_70,0,5000,0,49,269
493,17086807,6814,20,76,AG_70_UP,1,1750,0,1,426
494,11613931,1193,19,66,AG_50_70,0,3250,0,24,494
495,16311986,842,4,54,AG_50_70,1,1250,0,3,5
496,17098504,5582,7,67,AG_50_70,1,1000,0,1,21
497,16178459,6,3,46,AG_30_50,0,1000,0,5,6
498,15934315,667,6,50,AG_30_50,1,2500,0,7,10
499,16210733,1532,4,68,AG_50_70,1,1195,0,5,12
500,14128984,3508,6,34,AG_30_50,0,2000,0,9,20
501,13452691,4505,7,49,AG_30_50,7,300,1,6,21
502,15935044,4646,9,56,AG_50_70,1,750,0,7,10
503,15992140,5212,15,36,AG_30_50,0,1250,0,7,10
504,13483896,2358,7,26,AG_0_30,1,2000,0,19,21
505,13763906,2282,5,21,AG_0_30,0,2000,0,19,20
506,13511209,3389,34,59,AG_50_70,0,500,0,13,20
507,16644413,13058,13,35,AG_30_50,0,2250,0,3,30
508,16013099,0,17,54,AG_50_70,0,1000,0,7,26
509,13581044,1533,16,55,AG_50_70,0,500,0,9,43
510,13706890,8586,13,27,AG_0_30,0,2000,0,6,34
511,14333352,478,6,20,AG_0_30,1,1750,0,17,25
512,13165692,0,6,61,AG_50_70,7,1500,1,11,29
513,14525191,1160,8,65,AG_50_70,2,1000,0,15,46
514,11596386,3930,13,49,AG_30_50,0,300,0,13,26
515,14204400,5447,5,33,AG_30_50,5,1750,1,17,46
516,11358735,803,4,39,AG_30_50,0,2000,0,22,27
517,10337654,0,3,92,AG_70_UP,0,2000,0,29,29
518,11485164,0,14,72,AG_70_UP,0,3250,0,26,26
519,11412870,2571,17,44,AG_30_50,0,300,0,20,26
520,11434568,3517,7,50,AG_30_50,0,3250,0,25,39
521,10371551,14175,5,33,AG_30_50,0,1750,0,28,47
522,10017606,0,10,84,AG_70_UP,0,3250,0,32,44
523,15480536,5966,10,47,AG_30_50,2,1200,0,3,74
524,5194789,3383,13,48,AG_30_50,7,950,1,6,51
525,10722777,5689,30,47,AG_30_50,0,1750,0,9,51
526,4363332,0,7,49,AG_30_50,1,1150,0,11,68
527,10291611,563,10,38,AG_30_50,0,3250,0,14,73
528,11342220,0,19,51,AG_50_70,0,3250,0,16,69
529,10405333,449,7,33,AG_30_50,6,1750,1,23,73
530,11538648,328,6,43,AG_30_50,0,3250,0,25,72
531,11406763,2891,3,78,AG_70_UP,0,1750,0,26,50
532,10737053,2394,9,67,AG_50_70,0,5000,0,28,63
533,10190116,3558,13,42,AG_30_50,0,2000,0,22,63
534,4717515,3258,14,71,AG_70_UP,0,2400,0,29,53
535,3987167,2626,7,44,AG_30_50,2,0,0,74,74
536,4695081,3271,6,34,AG_30_50,7,3400,1,42,74
537,4598591,5158,43,60,AG_50_70,1,3750,0,57,73
538,16590721,276,13,53,AG_50_70,0,1000,0,3,91
539,16199836,1845,6,27,AG_0_30,7,1000,1,4,82
540,15029056,1126,8,49,AG_30_50,0,1000,0,1,77
541,10160004,3829,29,53,AG_50_70,0,3250,0,0,79
542,17160221,5733,18,63,AG_50_70,7,500,1,1,94
543,14051407,0,24,37,AG_30_50,0,1000,0,7,89
544,16144491,900,20,78,AG_70_UP,1,1250,0,6,80
545,2380086,1122,7,52,AG_50_70,0,5250,0,7,92
546,11354138,10671,32,49,AG_30_50,1,4000,0,9,99
547,3582000,30291,24,37,AG_30_50,0,3000,0,7,84
548,4415747,989,13,30,AG_0_30,5,2100,1,12,78
549,13844472,0,11,71,AG_70_UP,0,2000,0,19,76
550,14936675,593,16,39,AG_30_50,0,500,0,12,80
551,13825643,3400,21,64,AG_50_70,0,2500,0,19,85
552,13176268,4476,16,36,AG_30_50,0,1750,0,18,88
553,14215071,8085,21,25,AG_0_30,0,3750,0,16,91
554,13209801,10307,18,52,AG_50_70,0,3250,0,18,81
555,4350248,14599,40,48,AG_30_50,0,4500,0,11,81
556,15015589,15841,13,50,AG_30_50,0,1500,0,12,85
557,5448781,12897,11,59,AG_50_70,7,2750,1,25,85
558,5276481,3234,7,53,AG_50_70,0,2500,0,37,91
559,100252763,1220,18,49,AG_30_50,4,1250,1,1,108
560,13944972,1007,9,22,AG_0_30,0,3250,0,9,109
561,4793871,14549,31,35,AG_30_50,1,900,0,9,121
562,14096081,3385,26,62,AG_50_70,2,2000,0,18,104
563,13845735,3978,29,76,AG_70_UP,0,2000,0,19,124
564,13165359,1016,19,28,AG_0_30,1,1750,0,22,111
565,10081273,9336,12,34,AG_30_50,1,4750,0,24,122
566,11393321,12354,10,42,AG_30_50,0,1500,0,26,119
567,1847546,2078,18,53,AG_50_70,1,3600,0,81,105
568,2826302,9480,13,47,AG_30_50,0,6000,0,44,106
569,1933137,11304,19,32,AG_30_50,2,3000,0,51,114
570,16095340,1221,7,64,AG_50_70,7,1000,1,6,147
571,14332242,2815,25,57,AG_50_70,2,300,0,6,133
572,11293258,7839,19,67,AG_50_70,0,1750,0,8,138
573,16228446,10607,12,69,AG_50_70,0,3250,0,5,127
574,15379875,4505,17,41,AG_30_50,4,500,1,11,125
575,13114243,41,12,39,AG_30_50,0,2500,0,22,135
576,5169364,12994,22,43,AG_30_50,1,2500,0,26,149
577,5309320,1221,20,75,AG_70_UP,7,1750,1,36,138
578,10028834,4313,16,63,AG_50_70,7,1750,1,32,145
579,3081520,17065,16,52,AG_50_70,7,5250,1,35,135
580,17075932,2846,13,77,AG_70_UP,5,1000,1,1,158
581,13739731,24,14,63,AG_50_70,0,3250,0,8,158
582,14243837,11298,36,38,AG_30_50,0,3000,0,9,165
583,11281773,450,10,37,AG_30_50,0,2500,0,19,170
584,15016037,3113,8,25,AG_0_30,0,1000,0,12,170
585,11281270,414,14,41,AG_30_50,0,3250,0,27,154
586,5257551,4637,15,55,AG_50_70,0,5000,0,3,247
587,5400822,16701,23,59,AG_50_70,0,3250,0,2,237
588,16049273,7898,25,46,AG_30_50,0,1500,0,5,224
589,14395363,19,12,45,AG_30_50,0,2250,0,16,272
590,14078888,8436,13,56,AG_50_70,0,1000,0,12,273
591,13076430,3700,36,65,AG_50_70,1,2500,0,5,458
592,11315040,2170,11,69,AG_50_70,0,1000,0,27,421
593,13435759,5585,8,39,AG_30_50,2,1750,0,4,27
594,2476225,8333,20,31,AG_30_50,0,5750,0,6,91
595,11637551,9979,26,59,AG_50_70,0,3250,0,9,98
596,1731986,4593,16,30,AG_0_30,0,6000,0,58,108
597,13946697,3671,16,52,AG_50_70,1,400,0,18,155
598,13752808,7872,32,51,AG_50_70,0,1750,0,18,218
599,4322933,7738,14,46,AG_30_50,2,300,0,29,228
600,16067166,537,6,38,AG_30_50,0,1000,0,5,6
601,11346059,3731,16,27,AG_0_30,0,2000,0,3,27
602,5465324,9989,36,39,AG_30_50,0,3500,0,3,59
603,13667396,4177,12,36,AG_30_50,3,831,1,6,70
604,4593920,11379,14,64,AG_50_70,3,3500,1,15,67
605,12876860,21538,33,50,AG_30_50,5,1500,1,13,75
606,11286678,848,24,72,AG_70_UP,0,1000,0,18,107
607,14552712,869,14,36,AG_30_50,0,3250,0,13,139
608,12966686,828,27,47,AG_30_50,0,300,0,23,128
609,100407970,4209,15,65,AG_50_70,2,1250,0,0,160
610,2129537,6045,12,53,AG_50_70,0,4750,0,59,253
611,4072122,425,22,64,AG_50_70,5,700,1,65,137
612,14460316,4140,19,43,AG_30_50,0,1000,0,16,153
613,13023305,450,6,42,AG_30_50,0,3250,0,23,23
614,10022595,1934,10,21,AG_0_30,1,1500,0,25,32
615,4627128,4672,17,46,AG_30_50,1,4250,0,30,64
616,11411516,16858,33,40,AG_30_50,7,1300,1,12,87
617,4010530,1489,10,26,AG_0_30,0,500,0,29,83
618,15991465,13472,44,59,AG_50_70,0,1500,0,2,227
619,3883942,4580,29,61,AG_50_70,0,2750,0,77,222
620,16548181,2666,5,26,AG_0_30,7,1000,1,4,4
621,5167439,9518,32,51,AG_50_70,1,3500,0,10,105
622,1783340,3338,18,29,AG_0_30,0,5500,0,2,128
623,13785570,28915,27,77,AG_70_UP,0,2750,0,1,157
624,1677380,15144,42,70,AG_50_70,0,2200,0,7,380
625,11442433,10726,30,60,AG_50_70,0,1019,0,24,142
626,100127180,1034,21,31,AG_30_50,0,1750,0,33,115
627,10702174,8952,34,75,AG_70_UP,0,2000,0,27,405
628,15951404,9589,35,64,AG_50_70,0,2000,0,4,149
629,17031994,1788,22,78,AG_70_UP,0,1750,0,2,161
630,16296827,16474,35,51,AG_50_70,0,500,0,3,162
631,4175715,4864,13,55,AG_50_70,0,1750,0,1,71
632,5187351,7628,16,64,AG_50_70,3,2000,1,10,65
633,14540839,8621,14,45,AG_30_50,0,2250,0,2,90
634,3316742,9601,21,53,AG_50_70,0,1906,0,3,83
635,2546987,2799,8,46,AG_30_50,0,5750,0,11,92
636,1689993,11473,13,77,AG_70_UP,2,3300,0,26,101
637,14119939,19894,23,57,AG_50_70,2,3250,0,5,125
638,11491973,8582,15,63,AG_50_70,0,3500,0,26,175
639,16159882,10076,29,69,AG_50_70,0,1000,0,6,256
640,14911759,2495,10,26,AG_0_30,0,1000,0,8,13
641,12907499,3617,14,23,AG_0_30,0,3250,0,5,34
642,14526079,315,10,31,AG_30_50,0,1750,0,15,34
643,14745704,8986,23,23,AG_0_30,0,2000,0,1,56
644,14453841,771,13,29,AG_0_30,0,1750,0,16,66
645,4176451,4739,7,35,AG_30_50,0,1200,0,15,71
646,14781636,6725,18,32,AG_30_50,0,500,0,2,99
647,14532440,4143,16,58,AG_50_70,7,1750,1,15,99
648,14276563,5624,19,46,AG_30_50,0,1750,0,17,86
649,100066772,10372,17,65,AG_50_70,0,3500,0,10,94
650,11314479,25139,22,46,AG_30_50,7,2750,1,12,82
651,10337185,1382,13,25,AG_0_30,0,2000,0,29,84
652,11613123,6726,18,28,AG_0_30,0,1750,0,24,83
653,2090178,9103,21,48,AG_30_50,0,5500,0,25,99
654,13094063,15160,17,82,AG_70_UP,0,1750,0,22,94
655,13576908,16995,63,46,AG_30_50,0,2000,0,2,115
656,11399267,16041,24,43,AG_30_50,0,2500,0,8,116
657,2830998,11529,17,70,AG_50_70,1,5750,0,10,112
658,3328120,17607,15,52,AG_50_70,0,5750,0,16,115
659,4063558,5866,20,69,AG_50_70,0,1750,0,23,107
660,4743888,1431,15,68,AG_50_70,1,3000,0,52,109
661,16212558,2633,27,42,AG_30_50,7,1750,1,6,140
662,10330917,27865,36,60,AG_50_70,0,3250,0,22,172
663,5318513,24455,18,45,AG_30_50,0,3250,0,0,284
664,14605525,1260,24,53,AG_50_70,0,1000,0,15,257
665,14606467,1615,10,46,AG_30_50,0,2500,0,2,24
666,13903287,2197,6,29,AG_0_30,1,2500,0,1,19
667,16016544,1785,7,32,AG_30_50,0,1750,0,7,8
668,14936409,2481,7,38,AG_30_50,1,3250,0,9,21
669,14631879,1397,9,20,AG_0_30,0,1000,0,4,26
670,10353266,82,7,49,AG_30_50,0,1000,0,28,28
671,11458822,1582,3,39,AG_30_50,7,1750,1,26,30
672,10267061,9085,11,32,AG_30_50,0,3250,0,24,29
673,5208274,8390,19,42,AG_30_50,0,2750,0,4,52
674,13514271,1539,13,37,AG_30_50,0,3250,0,18,59
675,13582106,3040,26,40,AG_30_50,7,1000,1,13,56
676,10043201,15171,17,62,AG_50_70,0,2750,0,32,72
677,13806788,731,12,50,AG_30_50,0,1750,0,4,80
678,4116625,3271,17,53,AG_50_70,0,3750,0,2,82
679,14361398,4912,13,37,AG_30_50,4,400,1,2,82
680,13172651,38705,29,26,AG_0_30,7,3250,1,1,77
681,15980608,3566,10,27,AG_0_30,1,2000,0,7,78
682,15269876,978,19,30,AG_0_30,1,950,0,12,91
683,14980150,7474,17,52,AG_50_70,0,1000,0,12,95
684,3834563,52,13,42,AG_30_50,0,1000,0,58,77
685,2444213,2008,16,28,AG_0_30,0,3250,0,74,91
686,4428375,6769,2,30,AG_0_30,0,4800,0,67,96
687,12955985,9899,27,48,AG_30_50,0,1750,0,3,118
688,11553148,2026,47,36,AG_30_50,0,1000,0,8,100
689,14272602,2074,10,31,AG_30_50,4,1750,1,17,105
690,3066162,12166,17,53,AG_50_70,0,4750,0,24,103
691,1751287,331,9,29,AG_0_30,1,1250,0,98,113
692,1928786,9487,12,41,AG_30_50,7,4500,1,48,113
693,4257397,17531,39,45,AG_30_50,1,1000,0,2,139
694,14541436,1527,16,28,AG_0_30,1,500,0,15,126
695,11386835,2475,8,76,AG_70_UP,0,3250,0,20,148
696,16958823,1565,26,61,AG_50_70,2,500,0,2,178
697,13186209,764,21,67,AG_50_70,0,1750,0,12,187
698,3162895,1299,31,38,AG_30_50,0,3150,0,16,155
699,13435606,3583,20,58,AG_50_70,0,1750,0,18,164
700,14196980,35824,44,65,AG_50_70,0,3250,0,17,167
701,13135600,13547,17,64,AG_50_70,0,2000,0,22,163
702,5398208,1490,15,43,AG_30_50,0,1750,0,9,235
703,11502135,2821,23,48,AG_30_50,0,2000,0,10,212
704,10737468,4466,22,45,AG_30_50,1,2000,0,10,203
705,4029450,7866,26,52,AG_50_70,7,3200,1,19,201
706,17160425,8030,25,63,AG_50_70,0,1500,0,1,267
707,13787112,4576,29,40,AG_30_50,1,1000,0,10,94
708,13057420,918,21,53,AG_50_70,0,500,0,23,87
709,3663918,4798,13,41,AG_30_50,7,2000,1,25,83
710,14615858,4012,20,28,AG_0_30,0,1000,0,2,118
711,11529643,5223,11,53,AG_50_70,0,2250,0,21,36
712,11435933,6679,22,31,AG_30_50,1,2250,0,26,46
713,100253000,14594,40,41,AG_30_50,7,1750,1,1,149
714,15770636,2130,7,32,AG_30_50,1,500,0,3,18
715,13137145,6674,19,38,AG_30_50,0,2500,0,22,134
716,1564964,8798,41,31,AG_30_50,0,3250,0,141,148
717,4639255,11310,36,56,AG_50_70,0,2500,0,7,165
718,15893233,20029,27,38,AG_30_50,1,2250,0,6,179
719,1338454,10446,21,46,AG_30_50,1,6000,0,43,250
720,3081435,28518,24,65,AG_50_70,1,2300,0,3,106
721,4515414,18823,17,47,AG_30_50,1,4000,0,62,147
722,16723786,4369,13,27,AG_0_30,1,500,0,3,27
723,10337210,9433,14,75,AG_70_UP,0,2000,0,29,126
724,13237688,4423,20,39,AG_30_50,0,3250,0,21,47
725,14562813,2390,12,36,AG_30_50,7,470,1,15,32
726,14168906,7080,32,77,AG_70_UP,0,1000,0,5,144
727,2698477,17586,17,60,AG_50_70,0,5750,0,50,394
728,4607726,15301,28,60,AG_50_70,0,4250,0,12,226
729,15228026,2999,8,21,AG_0_30,1,700,0,12,12
730,14968959,10863,17,36,AG_30_50,7,2400,1,12,40
731,12973420,17362,47,27,AG_0_30,0,2750,0,5,76
732,5363457,15849,16,71,AG_70_UP,0,3250,0,6,101
733,3802206,42583,49,56,AG_50_70,0,1650,0,11,129
734,5183602,6976,15,50,AG_30_50,1,2600,0,39,127
735,13935650,4614,10,20,AG_0_30,0,2500,0,14,24
736,14155371,2398,8,30,AG_0_30,0,3250,0,9,30
737,14719367,3048,14,43,AG_30_50,0,1000,0,10,39
738,12875509,14570,16,38,AG_30_50,0,3250,0,24,47
739,5463656,5263,24,66,AG_50_70,2,1250,0,34,63
740,12826386,4273,29,35,AG_30_50,0,2000,0,7,91
741,2096517,24635,19,66,AG_50_70,4,5500,1,16,95
742,14912120,61237,42,59,AG_50_70,0,2500,0,13,89
743,10339823,6122,13,28,AG_0_30,0,4000,0,29,92
744,13580736,2369,20,59,AG_50_70,0,1750,0,3,106
745,14461318,16163,33,38,AG_30_50,1,4750,0,1,121
746,10268122,23259,22,84,AG_70_UP,3,4000,1,1,114
747,5441632,146,36,37,AG_30_50,0,2000,0,11,119
748,11626009,2616,14,43,AG_30_50,2,2900,0,24,119
749,10020247,7266,27,33,AG_30_50,0,1750,0,4,126
750,13902681,4144,17,52,AG_50_70,0,1750,0,19,146
751,14808537,16871,43,68,AG_50_70,1,1000,0,2,159
752,14606062,3716,30,58,AG_50_70,0,2500,0,15,198
753,4065639,3080,23,50,AG_30_50,0,5250,0,25,157
754,14518841,1396,27,38,AG_30_50,0,300,0,15,213
755,13706510,6756,36,42,AG_30_50,0,500,0,7,270
756,11281919,104456,62,85,AG_70_UP,0,3250,0,6,566
757,16066441,6998,8,41,AG_30_50,1,1000,0,4,6
758,13066654,6201,7,25,AG_0_30,0,1750,0,2,33
759,13460270,10895,24,25,AG_0_30,1,3250,0,4,35
760,13844964,10890,10,66,AG_50_70,0,2000,0,8,27
761,11313422,651,12,40,AG_30_50,0,3250,0,11,37
762,13235728,1746,13,21,AG_0_30,1,3000,0,16,30
763,13764874,1939,10,28,AG_0_30,1,1000,0,18,30
764,14605128,2183,16,37,AG_30_50,1,1000,0,15,31
765,14217677,5583,20,25,AG_0_30,0,2250,0,17,28
766,13513718,6370,5,31,AG_30_50,0,3000,0,20,39
767,13696599,3971,13,43,AG_30_50,4,4250,1,8,57
768,13641719,14733,14,47,AG_30_50,0,5250,0,15,51
769,5252051,4948,9,48,AG_30_50,0,1600,0,24,71
770,4457345,25796,11,57,AG_50_70,0,4000,0,20,69
771,3046042,4483,23,50,AG_30_50,5,5700,1,3,99
772,10059885,23928,26,54,AG_50_70,1,3250,0,5,96
773,4248856,5763,13,31,AG_30_50,0,3250,0,19,81
774,2240122,2094,17,42,AG_30_50,0,4550,0,28,93
775,3693303,406,10,68,AG_50_70,0,3000,0,30,78
776,3434461,2397,13,46,AG_30_50,7,2800,1,78,90
777,2861672,10281,9,59,AG_50_70,1,3750,0,85,86
778,11601118,5971,14,43,AG_30_50,0,2000,0,3,107
779,16548005,8159,21,27,AG_0_30,2,1250,0,4,109
780,13198500,2400,23,61,AG_50_70,0,1750,0,5,102
781,2673425,45530,35,57,AG_50_70,4,3250,1,6,110
782,5436131,11645,28,57,AG_50_70,1,1500,0,20,113
783,10028478,19127,23,45,AG_30_50,0,2250,0,26,100
784,2788889,25263,29,65,AG_50_70,0,6000,0,4,137
785,11308236,1163,46,51,AG_50_70,5,1900,1,9,129
786,11432187,17661,20,50,AG_30_50,7,1000,1,5,125
787,14196643,2322,9,57,AG_50_70,0,4500,0,17,147
788,10157821,3433,14,52,AG_50_70,0,1500,0,25,134
789,15227063,22972,37,64,AG_50_70,1,3250,0,1,155
790,15870999,3183,31,35,AG_30_50,0,2000,0,7,166
791,13136090,19386,16,45,AG_30_50,0,1000,0,10,188
792,10723174,8054,15,63,AG_50_70,0,814,0,2,231
793,100042109,4301,21,69,AG_50_70,0,2000,0,15,331
794,5284473,736,8,64,AG_50_70,0,3250,0,14,61
795,4408146,2874,22,52,AG_50_70,0,6000,0,4,92
796,14626693,14312,33,56,AG_50_70,0,2250,0,3,137
797,3335319,1418,29,49,AG_30_50,0,700,0,9,356
798,5270993,1041,18,47,AG_30_50,0,1800,0,3,94
799,3830918,14828,20,56,AG_50_70,7,3900,1,17,102
800,16559349,53327,74,43,AG_30_50,0,3000,0,1,154
801,1525288,9646,13,34,AG_30_50,0,2000,0,86,169
802,16973969,520,15,82,AG_70_UP,0,1750,0,2,21
803,14176415,697,9,33,AG_30_50,0,3250,0,17,18
804,5230036,13101,15,59,AG_50_70,1,2000,0,13,41
805,13982985,15143,24,34,AG_30_50,1,3250,0,1,45
806,4356415,3155,21,26,AG_0_30,0,1750,0,57,74
807,2389276,17888,25,51,AG_50_70,0,4250,0,4,281
808,13649418,12001,31,32,AG_30_50,0,2000,0,3,140
809,5371915,7327,24,51,AG_50_70,1,5000,0,0,82
810,5356724,11957,26,33,AG_30_50,2,1800,0,15,67
811,14022014,4280,36,55,AG_50_70,0,1500,0,10,216
812,5370219,21909,19,67,AG_50_70,0,3250,0,20,70
813,1837975,23272,28,47,AG_30_50,7,3100,1,11,425
814,3707832,7472,19,26,AG_0_30,0,5750,0,1,85
815,10735223,17210,12,54,AG_50_70,0,3000,0,6,113
816,14154696,714,10,25,AG_0_30,1,1500,0,3,18
817,16749198,1866,13,43,AG_30_50,0,2250,0,3,15
818,10721302,10663,23,48,AG_30_50,7,2000,1,13,32
819,11452216,2182,14,54,AG_50_70,7,1500,1,16,57
820,14476724,11113,12,55,AG_50_70,1,3750,0,11,74
821,3037293,8598,26,33,AG_30_50,0,5500,0,32,94
822,13723740,3605,22,41,AG_30_50,0,2750,0,7,109
823,13767738,4178,19,28,AG_0_30,0,500,0,19,120
824,14496708,4293,22,30,AG_0_30,1,1000,0,2,131
825,11352269,7677,31,34,AG_30_50,0,1000,0,9,147
826,14120339,6698,16,48,AG_30_50,0,2250,0,18,147
827,13899535,13686,18,37,AG_30_50,1,2500,0,3,175
828,16154164,10536,15,49,AG_30_50,0,2750,0,6,152
829,10044869,12330,25,42,AG_30_50,0,1000,0,7,158
830,4480631,11206,35,69,AG_50_70,5,3000,1,10,157
831,13331509,1973,24,47,AG_30_50,0,3750,0,21,228
832,12927855,5368,32,78,AG_70_UP,0,1000,0,1,345
833,4103013,8967,32,58,AG_50_70,1,2250,0,29,363
834,100173157,65,2,25,AG_0_30,2,300,0,1,13
835,16864585,391,6,57,AG_50_70,0,1000,0,2,23
836,17086598,1137,6,21,AG_0_30,6,500,1,1,14
837,14615187,1295,11,24,AG_0_30,1,1500,0,2,30
838,15357227,2648,14,27,AG_0_30,2,300,0,1,25
839,11407336,3255,12,28,AG_0_30,1,1181,0,14,40
840,13543023,4971,11,23,AG_0_30,0,1500,0,19,27
841,13511910,0,9,25,AG_0_30,2,2500,0,20,31
842,10405116,7735,7,46,AG_30_50,1,2500,0,28,45
843,5449713,3732,14,31,AG_30_50,4,1197,1,34,34
844,11502471,138,13,23,AG_0_30,0,1000,0,4,51
845,16237577,2358,11,23,AG_0_30,7,1700,1,3,59
846,14525710,4145,23,43,AG_30_50,1,1500,0,5,68
847,10322062,4508,11,38,AG_30_50,0,5750,0,29,56
848,5464105,21502,10,35,AG_30_50,0,3250,0,20,52
849,16474924,1474,28,24,AG_0_30,2,1000,0,4,93
850,14948973,1847,25,58,AG_50_70,1,1500,0,2,90
851,16423868,17956,19,41,AG_30_50,1,2250,0,4,85
852,3007007,6353,9,64,AG_50_70,0,5000,0,5,85
853,12999017,6916,22,65,AG_50_70,1,1500,0,19,82
854,1766128,2446,17,40,AG_30_50,0,1500,0,23,98
855,11612533,6523,16,61,AG_50_70,0,1000,0,24,87
856,3011790,6006,23,41,AG_30_50,1,4500,0,23,89
857,4026538,9644,12,83,AG_70_UP,0,2750,0,21,76
858,4534895,7223,9,31,AG_30_50,0,1500,0,37,83
859,4051746,30102,27,62,AG_50_70,3,855,1,66,86
860,14395093,29157,12,53,AG_50_70,0,1750,0,15,116
861,11351248,2896,14,74,AG_70_UP,0,2000,0,27,110
862,10352076,56,35,75,AG_70_UP,0,1750,0,2,142
863,16354061,8067,16,47,AG_30_50,7,1750,1,5,129
864,4207130,9375,9,43,AG_30_50,3,1160,1,5,137
865,1374470,17418,18,29,AG_0_30,0,6000,0,6,130
866,2474973,6632,37,59,AG_50_70,1,3750,0,17,127
867,13597835,0,17,50,AG_30_50,0,1100,0,20,145
868,10418974,4154,23,47,AG_30_50,0,1750,0,28,133
869,13806281,8918,35,40,AG_30_50,0,2500,0,9,151
870,5387045,1682,9,67,AG_50_70,1,3000,0,29,162
871,10296510,10205,15,60,AG_50_70,1,3000,0,22,177
872,14331880,3377,20,42,AG_30_50,0,2000,0,17,243
873,10692524,3815,28,86,AG_70_UP,0,1000,0,4,275
874,14282962,17392,35,61,AG_50_70,1,2000,0,17,143
875,16390298,1086,12,43,AG_30_50,0,1000,0,5,84
876,10197744,5486,19,46,AG_30_50,1,2000,0,17,118
877,4536760,6821,47,70,AG_50_70,1,4250,0,12,102
878,3829259,1907,51,42,AG_30_50,0,5250,0,3,148
879,12991481,13056,24,52,AG_50_70,0,3000,0,6,286
880,14424864,4899,23,60,AG_50_70,0,3250,0,1,107
881,13837988,10639,37,31,AG_30_50,7,300,1,19,160
882,11402447,1354,13,35,AG_30_50,0,2000,0,12,26
883,4788613,2512,25,45,AG_30_50,7,450,1,11,115
884,10353278,4320,33,60,AG_50_70,0,5000,0,26,102
885,12966395,27658,22,62,AG_50_70,0,3250,0,2,375
886,5389687,5183,12,49,AG_30_50,0,3750,0,15,35
887,11446962,12804,19,43,AG_30_50,0,3250,0,16,82
888,100323156,4436,16,46,AG_30_50,6,1000,1,1,153
889,100223499,14121,23,76,AG_70_UP,0,500,0,1,165
890,15822139,18198,23,34,AG_30_50,7,1000,1,7,60
891,13916645,10056,12,37,AG_30_50,0,1000,0,9,124
892,15007775,3550,39,62,AG_50_70,0,2000,0,12,135
893,15027780,9430,32,45,AG_30_50,0,3250,0,4,120
894,14717865,1866,12,33,AG_30_50,7,500,1,13,58
895,11611098,13172,26,34,AG_30_50,1,4000,0,2,86
896,3956910,27228,58,48,AG_30_50,0,4500,0,1,82
897,16739459,30436,18,46,AG_30_50,0,1750,0,3,106
