,MATCHKEY,RBAL,TRADES,AGE,AGE_groups,DELQID,CRELIM,goodbad,BRNEW,BRAGE
89,16066202,1598,12,29,AG_0_30,6,500,1,6,22
90,11503476,6964,30,54,AG_50_70,1,500,0,5,195
91,13764646,4077,3,43,AG_30_50,0,3250,0,15,19
92,5235748,19423,27,35,AG_30_50,4,3250,1,14,54
93,14191185,5999,25,55,AG_50_70,0,2250,0,17,129
94,2720470,40298,23,55,AG_50_70,0,4250,0,18,141
95,1560609,34866,25,66,AG_50_70,1,3000,0,87,246
96,16048953,2665,7,19,AG_0_30,1,1000,0,1,7
97,15344022,0,5,46,AG_30_50,0,1000,0,11,11
98,13824579,125,5,30,AG_0_30,0,3250,0,19,35
99,14094814,0,5,46,AG_30_50,0,3250,0,18,28
100,14699501,1184,15,31,AG_30_50,1,1000,0,13,46
101,5467548,1752,13,23,AG_0_30,0,2000,0,34,46
102,10017889,12856,11,42,AG_30_50,0,1750,0,32,38
103,16643498,1641,8,37,AG_30_50,1,1500,0,1,69
104,13006052,4565,11,67,AG_50_70,0,1175,0,3,67
105,13183992,14361,21,65,AG_50_70,0,3750,0,4,68
106,5378902,2388,25,23,AG_0_30,0,1750,0,8,70
107,14118824,722,16,23,AG_0_30,0,1750,0,18,57
108,13992290,5741,25,44,AG_30_50,7,1000,1,14,59
109,14440239,12341,49,41,AG_30_50,0,2250,0,10,69
110,11454466,225,6,43,AG_30_50,0,3250,0,26,68
111,13574558,0,6,56,AG_50_70,0,1750,0,20,50
112,4706300,0,17,26,AG_0_30,0,3000,0,53,74
113,16200383,8270,36,56,AG_50_70,4,1750,1,4,89
114,5243902,1749,14,58,AG_50_70,0,4750,0,5,84
115,16154484,5877,27,63,AG_50_70,5,0,1,5,88
116,13786050,1204,36,38,AG_30_50,5,774,1,19,93
117,11521167,6053,13,40,AG_30_50,0,2000,0,25,98
118,4110595,467,5,50,AG_30_50,0,10000,0,72,79
119,1995495,0,10,39,AG_30_50,0,4000,0,79,96
120,16414122,30,30,73,AG_70_UP,0,1750,0,3,112
121,2880210,2022,9,38,AG_30_50,3,2000,1,3,104
122,100255445,4737,22,64,AG_50_70,0,1250,0,1,117
123,12818548,271,30,41,AG_30_50,0,1500,0,8,124
124,16178661,3508,20,31,AG_30_50,2,300,0,5,105
125,13371837,4246,30,55,AG_50_70,1,2250,0,5,115
126,1780907,31113,34,29,AG_0_30,1,5750,0,17,116
127,13350214,2416,18,46,AG_30_50,0,2000,0,21,123
128,3080242,5394,11,50,AG_30_50,0,6000,0,43,123
129,13954746,8957,39,45,AG_30_50,1,2250,0,1,142
130,16343885,2244,9,53,AG_50_70,2,500,0,5,148
131,1447849,321,22,39,AG_30_50,4,1500,1,26,140
132,11590181,18523,35,53,AG_50_70,0,2000,0,21,142
133,14841205,7405,40,25,AG_0_30,0,1750,0,4,158
134,13678152,6454,24,41,AG_30_50,3,2000,1,6,167
135,2525747,6141,28,31,AG_30_50,1,2500,0,5,161
136,13766407,5646,24,60,AG_50_70,0,300,0,15,168
137,5309025,8096,30,57,AG_50_70,1,3250,0,12,155
138,14333243,16036,37,72,AG_70_UP,7,300,1,16,169
