MATCHKEY,RBAL,TRADES,AGE
16973142,1560,24,26
10178144,0,3,47
15357135,5535,11,80
10041706,151,11,41
100123579,862,8,78
3947427,0,14,27
2079446,13483,21,58
14496435,121,24,56
14169939,5308,34,60
15014040,33118,25,49
10279077,29353,18,58
1975634,10608,8,65
16449042,3410,33,45
13053494,13305,18,36
11363179,1930,31,30
10385067,8890,20,54
1427263,5976,15,53
14703965,15373,31,67
14265209,2426,24,57
4781632,9107,22,37
16369370,7173,51,60
11548018,10218,45,38
2395466,3469,31,49
11392754,18058,23,72
15793089,37986,35,61
3763667,7587,38,60
100293322,820,3,45
15830615,763,10,40
17086060,3040,6,27
15956672,5366,11,38
16014109,244,2,24
16081935,2133,5,22
14596634,2393,10,44
14263223,4941,14,44
16209812,7878,10,19
13765621,0,4,52
13818729,68,5,25
14718175,1524,2,33
14862045,1574,7,20
14724660,2442,7,28
11347765,227,4,26
100204993,800,9,38
14218549,6559,9,25
10256921,58,7,26
16014897,1535,17,51
13893874,2250,9,57
16266729,2487,10,29
11530435,2476,11,48
13075947,5155,9,53
13500963,6573,16,52
14382261,6513,16,53
11416952,16019,12,67
11386960,491,4,36
10197142,0,10,52
14247472,2853,8,52
11490056,8583,17,34
13320557,24695,12,55
11573652,0,6,80
100065278,0,10,21
12973970,5950,24,26
5387268,0,14,39
5310338,1854,5,31
10174472,1234,8,64
13233946,349,11,73
15388423,2447,6,71
100097303,5175,24,44
10274233,9502,15,49
13739695,12860,7,57
12864566,15009,33,59
4732814,6050,14,48
17098344,1939,21,67
2270057,6407,8,30
14373694,14688,24,62
15762756,2680,14,42
3933030,4196,15,59
14249316,85,4,66
10385099,12407,26,59
5160484,12418,26,65
13006656,21142,11,54
3388791,0,11,27
5412225,2794,7,48
3667472,3099,23,51
2219405,4505,7,30
4516960,4181,13,47
2056785,6899,4,71
16537762,1974,17,51
16311410,7099,37,52
16470463,9426,36,55
13763646,24562,40,56
2314964,25011,28,45
11497113,7833,23,81
11458827,15562,20,48
14453406,3129,13,37
10291469,10751,27,49
13648739,1855,20,79
10074004,6499,14,60
10175872,10500,32,47
4445023,4696,14,65
2774059,11936,16,38
14131398,5566,14,63
100114196,7231,15,33
14755484,11270,11,33
1343107,16600,8,29
16047927,1857,10,59
4731896,3495,16,61
3623300,16721,32,34
14131804,2418,19,35
13740796,12344,31,64
13983273,22818,17,57
13361776,622,33,44
2310146,3471,8,54
10742769,3498,31,68
16011157,7705,25,52
13667394,8962,31,56
14051813,3193,6,64
14423855,6530,25,52
11637838,17402,36,45
13043675,21122,28,62
15307415,9072,40,64
10197211,3214,21,40
16178677,896,6,58
5470202,9153,8,59
14680006,2191,20,27
4044173,7979,28,58
13915562,3850,19,38
16462997,8424,25,45
14403888,2393,14,44
17075678,11827,25,63
13368939,943,24,47
11436400,460,17,48
5455141,5757,23,45
4298206,2568,28,39
14946826,2516,10,21
16237592,4887,7,22
2078855,949,17,48
3519505,1546,15,39
3934655,29119,31,55
11412945,40826,37,40
11562556,26633,24,77
11489782,4844,13,32
13900227,3931,11,45
4789438,6282,28,62
11458152,9018,27,40
10037057,26761,28,59
5412723,5734,26,35
14552529,3424,20,32
4284679,13133,38,79
5253166,4409,18,73
3886249,7587,26,59
10154349,11479,36,66
13759879,8974,41,47
16575088,3549,9,73
14080332,4165,16,30
14096656,16261,45,46
5457093,2065,17,32
13036823,27174,21,62
5229866,15930,26,64
10204049,9302,28,49
12929793,4995,27,39
10174428,30814,12,84
5469030,16851,29,59
10153162,11834,22,57
10307206,43215,58,53
11623903,14528,15,48
3005255,14268,25,46
3815012,26683,20,65
1503556,16568,41,51
11573667,8405,11,79
10022814,4390,16,63
16850293,1257,6,48
13656982,16162,17,47
10246181,18375,12,61
16721185,331,35,58
17161409,1981,26,30
16973169,4766,26,72
3364417,34026,24,49
15783986,805,15,63
3022400,3759,19,48
3400524,6916,18,31
13845343,3897,12,48
5341456,43,13,28
3751157,10131,11,30
5411608,4073,30,39
13452449,0,13,44
4566710,1618,10,41
16505216,348,42,49
11392412,2177,18,49
15193793,5349,35,52
14131931,0,15,46
10004896,27,24,66
14532683,706,27,54
2777898,16313,21,60
10314921,5174,13,84
11324353,1708,20,42
10234842,5700,28,66
100064664,3340,34,53
14491941,7340,24,34
3026644,44766,11,69
17086807,6814,20,76
11613931,1193,19,66
16311986,842,4,54
17098504,5582,7,67
16178459,6,3,46
15934315,667,6,50
16210733,1532,4,68
14128984,3508,6,34
13452691,4505,7,49
15935044,4646,9,56
15992140,5212,15,36
13483896,2358,7,26
13763906,2282,5,21
